s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
1,Caylion Plutocracy,Nanotechnology,1,Researched,bbb➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UgY,3,4,1.333,5.5,1.833,1.375
2,Caylion Plutocracy,Genetic Engineering,1,Researched,ggg➪YBb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪YBbY,3,4,1.333,5.5,1.833,1.375
3,Caylion Plutocracy,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Bbw,3,4.5,1.500,6.5,2.167,1.444
4,Caylion Plutocracy,Antimatter Power,2,Researched,bbbb➪YYBw,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YYBwgw,4,5.5,1.375,7.5,1.875,1.364
5,Caylion Plutocracy,Interspecies Medical Exchange,2,Researched,gggg➪$w+gb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wbY+gb,4,6,1.500,8.5,2.125,1.417
6,Caylion Plutocracy,Cross Species Ethical Equality,2,Researched,wwww➪$+$b,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$b,4,7,1.750,10,2.500,1.429
7,Caylion Plutocracy,Xeno Cultural Exchange,3,Researched,bbbbb➪$Bwwwg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Bwwwg+$Bw,5,11.5,2.300,17,3.400,1.478
8,Caylion Plutocracy,Poly Species Corporations,3,Researched,ggggg➪$YY**+bbbg,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YY**+bbbgw,5,12,2.400,16,3.200,1.333
9,Caylion Plutocracy,Social Exodus,3,Researched,wwwww➪$**B+$**YT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**YTb,5,14.5,2.900,18.5,3.700,1.276
10,Caylion Plutocracy,Quantum Computers,1,Researched,BB➪TYg,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪YTgY,3,4,1.333,5.5,1.833,1.375
11,Caylion Plutocracy,Clinical Immortality,1,Researched,TT➪$w,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$wY,3,4,1.333,5.5,1.833,1.375
12,Caylion Plutocracy,Ubiquitous Cultural Repository,1,Researched,YY➪$g,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$gB,3,4,1.333,5.5,1.833,1.375
13,Caylion Plutocracy,Achronal Analysis,2,Researched,BBB➪UYwb,Antimatter Power,Singularity Control,Time Viewers,BBB➪UYTwwb,4.5,6.5,1.444,9,2.000,1.385
14,Caylion Plutocracy,Organic Construction,2,Researched,TTT➪**bbwg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪Y**bbwg,4.5,6,1.333,7.5,1.667,1.250
15,Caylion Plutocracy,Hyperspace Mining,2,Researched,YYY➪UB+YY,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UBBwb+YY,4.5,7.5,1.667,11,2.444,1.467
16,Caylion Plutocracy,Galactic Telecomm Control,3,Researched,BBBB➪$$$bbw,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Ybbw,6,12,2.000,16.5,2.750,1.375
17,Caylion Plutocracy,Temporal Dilation,3,Researched,TTTT➪$$Uggw,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Uggw+U,6,12,2.000,18,3.000,1.500
18,Caylion Plutocracy,Matter Generation,3,Researched,YYYY➪$$UTwb,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UTwbb,6,12.5,2.083,16.5,2.750,1.320
19,Caylion Plutocracy,Lunar Mining Consortium,0,Starting,TT➪**Bw,BBJ→$Y,Organic Construction,Auxonic Outersystem Harvesting,TT➪**BYg,3,4.5,1.500,6,2.000,1.333
20,Caylion Plutocracy,Planetary Ecological Dominance,0,Starting,➪gggw*,TTJ→$Y,Genetic Engineering,Systemwide Gravitic Dominance,➪gggwT*,0,5,1000.000,6.5,1000.000,1.300
21,Caylion Plutocracy,Atomic Transmutation,1,Researched,U➪YTb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YTbT,3,4,1.333,5.5,1.833,1.375
22,Caylion Plutocracy,Oceanic Processing,0,Starting,gg➪Tb,BBJ→$Y,Antimatter Power,Planet-wide Industrial Mariculture,gg➪BTb,2,2.5,1.250,4,2.000,1.600
23,Caylion Plutocracy,Distributed Telenet,0,Starting,B➪bw,TTJ→$Y,Ubiquitous Cultural Repository,Ansible Driven Intersystem Society,B➪Tbw,1.5,2,1.333,3.5,2.333,1.750
24,Caylion Plutocracy,Singularity Control,2,Researched,UU➪YTTwgb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YTTwbbbg*,6,8.5,1.417,10.5,1.750,1.235
25,Caylion Plutocracy,Phases,,Reference,,,,,,,,,,,
26,Caylion Plutocracy,Megastructures,3,Researched,UUU➪$$$$$wb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$wbT,9,17,1.889,21.5,2.389,1.265
27,Eni Et Ascendancy,Nanotechnology,1,Researched,bbb➪Uw,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UwT,3,4,1.333,5.5,1.833,1.375
28,Eni Et Ascendancy,Genetic Engineering,1,Researched,ggg➪YBb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪YBbB,3,4,1.333,5.5,1.833,1.375
29,Eni Et Ascendancy,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Bgb,3,4.5,1.500,6.5,2.167,1.444
30,Eni Et Ascendancy,Antimatter Power,2,Researched,bbbb➪YYBw,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YYBwgg,4,5.5,1.375,7.5,1.875,1.364
31,Eni Et Ascendancy,Interspecies Medical Exchange,2,Researched,gggg➪$w+gb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wbY+gb,4,6,1.500,8.5,2.125,1.417
32,Eni Et Ascendancy,Cross Species Ethical Equality,2,Researched,wwww➪$+$b,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$b,4,7,1.750,10,2.500,1.429
33,Eni Et Ascendancy,Xeno Cultural Exchange,3,Researched,bbbbb➪$Ywwgg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Ywwgg+$Yg,5,11.5,2.300,17,3.400,1.478
34,Eni Et Ascendancy,Poly Species Corporations,3,Researched,ggggg➪$YT**+bbgg,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YT**+bbbgg,5,12,2.400,16,3.200,1.333
35,Eni Et Ascendancy,Social Exodus,3,Researched,wwwww➪$**B+$**YB,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**YBb,5,14.5,2.900,18.5,3.700,1.276
36,Eni Et Ascendancy,Quantum Computers,1,Researched,BB➪YYg,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪YYgY,3,4,1.333,5.5,1.833,1.375
37,Eni Et Ascendancy,Clinical Immortality,1,Researched,TT➪$b,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$bB,3,4,1.333,5.5,1.833,1.375
38,Eni Et Ascendancy,Ubiquitous Cultural Repository,1,Researched,YY➪$g,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$gB,3,4,1.333,5.5,1.833,1.375
39,Eni Et Ascendancy,Achronal Analysis,2,Researched,BBB➪UYwb,Antimatter Power,Singularity Control,Time Viewers,BBB➪UYwbbY,4.5,6.5,1.444,9,2.000,1.385
40,Eni Et Ascendancy,Organic Construction,2,Researched,TTT➪**bbgg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**bbggB,4.5,6,1.333,7.5,1.667,1.250
41,Eni Et Ascendancy,Hyperspace Mining,2,Researched,YYY➪UB+BT,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UBBgb+BT,4.5,7.5,1.667,11,2.444,1.467
42,Eni Et Ascendancy,Galactic Telecomm Control,3,Researched,BBBB➪$$$bgw,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Tbgw,6,12,2.000,16.5,2.750,1.375
43,Eni Et Ascendancy,Temporal Dilation,3,Researched,TTTT➪$$Ugbb,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Ugbb+U,6,12,2.000,18,3.000,1.500
44,Eni Et Ascendancy,Matter Generation,3,Researched,YYYY➪$$UBwb,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UBwgb,6,12.5,2.083,16.5,2.750,1.320
45,Eni Et Ascendancy,Bone Carving,0,Starting,TT➪wwbg,TTW→$,Nanotechnology,Nanocraft,TT➪wwwbg,3,4,1.333,5,1.667,1.250
46,Eni Et Ascendancy,Deep Hunting,0,Starting,➪T*,TTW→$,Genetic Engineering,Pelagic Bounty,➪T*w,0,2.5,1000.000,3.5,1000.000,1.400
47,Eni Et Ascendancy,Atomic Transmutation,1,Researched,U➪BTb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YBTb,3,4,1.333,5.5,1.833,1.375
48,Eni Et Ascendancy,Choral Song,0,Starting,wwwww➪UBg**,TTW→$,Clinical Immortality,Eternal Music,wwwww➪UBg**Y,5,7.5,1.500,9,1.800,1.200
49,Eni Et Ascendancy,Universal Applied Metaethics,0,Starting,U➪$+www,TTW→$,Atomic Transmutation,Omnispecies Metaethical Models,U➪$+wwwgb,3,6,2.000,8,2.667,1.333
50,Eni Et Ascendancy,Singularity Control,2,Researched,UU➪TBYggb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪YBTggbbw*,6,8.5,1.417,10.5,1.750,1.235
51,Eni Et Ascendancy,Phases,,Reference,,,,,,,,,,,
52,Eni Et Ascendancy,Megastructures,3,Researched,UUU➪$$$$$gb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$gbB,9,17,1.889,21.5,2.389,1.265
53,Eni Et Ascendancy,Cultural Charity,0,Starting,s8➪s13,Cross Species Ethical Equality,Antimatter Power,Omnicultural Dynamic Charity,ssssssss➪sssssss$$$,8,13,1.625,16,2.000,1.231
54,Eni Et Ascendancy,Volunteer Medical Movement,0,Starting,s6➪s9,Interspecies Medical Exchange,Organic Construction,Universal Health,ssssss➪sssss$$,6,9,1.500,11,1.833,1.222
55,Eni Et Ascendancy,Mutual Understanding,0,Starting,s2➪s4,Quantum Computers,Universal Translator,Interspecies Empathy,ss➪sss$,2,4,2.000,6,3.000,1.500
56,Eni Et Ascendancy,Elder's Wisdom,0,Starting,L6➪L10,Quantum Computers,Clinical Immortality,Immortal’s Wisdom,LLLLLL➪LLLLLLL$$,9,15,1.667,16.5,1.833,1.100
57,Eni Et Ascendancy,Intercultural Archive,0,Starting,L3➪L4,Ubiquitous Cultural Repository,Universal Translator,Ubiquitous Cultural Influence,LLL➪LLL$,4.5,6,1.333,7.5,1.667,1.250
58,Eni Et Ascendancy,Xenotech Pool,0,Starting,U3➪U5,Hyperspace Mining,Singularity Control,Ultratech Community,UUU➪UUU$$$,9,15,1.667,18,2.000,1.200
59,Faderan Conclave,Gift of the Duruntai,1,wwwwI→R,➪OTgb+T,,,,,0,8,1000.000,,,
60,Faderan Conclave,Contextual Integrator Cache,1,wwwwI→R,"Variable $,Ack* upgraded",,,,,,,,,,
61,Faderan Conclave,Automated Transport Network,1,wwwwI→R,"➪g,+2 colonies from deck",,,,,0,1,1000.000,,,
62,Faderan Conclave,Relic Detector,1,wwwwI→R,gggN→R,,,,,,,,,,
63,Faderan Conclave,Library of Entelechy,1,wwwwI→R,➪+$Bgw,,,,,0,6.5,1000.000,,,
64,Faderan Conclave,Transmutive Decomposer,1,wwwwI→R,"$,**➪UbgY",,,,,2,6.5,3.250,,,
65,Faderan Conclave,Nalgorian Grindstone,1,wwwwI→R,$➪TBbg,,,,,3,5,1.667,,,
66,Faderan Conclave,Star's Ruin,1,wwwwI→R,$$X,,,,,,,,,,
67,Faderan Conclave,Paradise Converter,1,wwwwI→R,"TB,N➾$$",,,,,,,,,,
68,Faderan Conclave,Barian Trade Armada,1,wwwwI→R,$UTBYgbw****,,,,,,,,,,
69,Faderan Conclave,Thil's Demiring,1,wwwwI→R,"gbw,YB➪$$",,,,,3,6,2.000,,,
70,Faderan Conclave,The Grand Armilla,1,wwwwI→R,"$,➪****",,,,,0,3,1000.000,,,
71,Faderan Conclave,Nanotechnology,1,Researched,bbb➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UgY,3,4,1.333,5.5,1.833,1.375
72,Faderan Conclave,Genetic Engineering,1,Researched,ggg➪BTw,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪BTwT,3,4,1.333,5.5,1.833,1.375
73,Faderan Conclave,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Bbw,3,4.5,1.500,6.5,2.167,1.444
74,Faderan Conclave,Antimatter Power,2,Researched,bbbb➪YYTg,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YYTggw,4,5.5,1.375,7.5,1.875,1.364
75,Faderan Conclave,Interspecies Medical Exchange,2,Researched,gggg➪$b+gg,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$bwT+gg,4,6,1.500,8.5,2.125,1.417
76,Faderan Conclave,Cross Species Ethical Equality,2,Researched,wwww➪$+$w,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$w,4,7,1.750,10,2.500,1.429
77,Faderan Conclave,Xeno Cultural Exchange,3,Researched,bbbbb➪$Bwwgg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Bwwgg+$Tw,5,11.5,2.300,17,3.400,1.478
78,Faderan Conclave,Poly Species Corporations,3,Researched,ggggg➪$YB**+bbgw,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YB**+bbgww,5,12,2.400,16,3.200,1.333
79,Faderan Conclave,Social Exodus,3,Researched,wwwww➪$**Y+$**YT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**Y+$**YgT,5,14.5,2.900,18.5,3.700,1.276
80,Faderan Conclave,Quantum Computers,1,Researched,BB➪TYb,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪TYbY,3,4,1.333,5.5,1.833,1.375
81,Faderan Conclave,Clinical Immortality,1,Researched,TT➪$g,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$gB,3,4,1.333,5.5,1.833,1.375
82,Faderan Conclave,Ubiquitous Cultural Repository,1,Researched,YY➪$w,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$wB,3,4,1.333,5.5,1.833,1.375
83,Faderan Conclave,Achronal Analysis,2,Researched,BBB➪UTwb,Antimatter Power,Singularity Control,Time Viewers,BBB➪UTwbwY,4.5,6.5,1.444,9,2.000,1.385
84,Faderan Conclave,Organic Construction,2,Researched,TTT➪**bbwg,Interspecies Medical Exchange,Cross Species Ethical Equality,Living Infrastructure,TTT➪**bbwgY,4.5,6,1.333,7.5,1.667,1.250
85,Faderan Conclave,Hyperspace Mining,2,Researched,YYY➪UB+BT,Antimatter Power,Singularity Control,Hyperspace Settlements,YYY➪UBBbb+BT,4.5,7.5,1.667,11,2.444,1.467
86,Faderan Conclave,Galactic Telecomm Control,3,Researched,BBBB➪$$$wwg,Poly Species Corporations,Social Exodus,Galactic Domination,BBBB➪$$$$Ywwg,6,12,2.000,16.5,2.750,1.375
87,Faderan Conclave,Temporal Dilation,3,Researched,TTTT➪$$Ubbg,Megastructures,Matter Generation,Stasis Field,TTTT➪$$$Ubbg+U,6,12,2.000,18,3.000,1.500
88,Faderan Conclave,Matter Generation,3,Researched,YYYY➪$$UTgb,Poly Species Corporations,Temporal Dilation,Macroscale Teleportation,YYYY➪$$$UTgbb,6,12.5,2.083,16.5,2.750,1.320
89,Faderan Conclave,Relic Repurposing,0,Starting,bb➪**w,Achronal Analysis,Antimatter Power,Relic Manufacturing,bb➪**wwg,2,3,1.500,5,2.500,1.667
90,Faderan Conclave,Archaic Automated Support Network,0,Starting,➪wgb*,Singularity Control,Hyperspace Mining,Domesticated Automated Support Network,➪wgb*+BY,0,4,1000.000,7,1000.000,1.750
91,Faderan Conclave,Atomic Transmutation,1,Researched,U➪YTb,Ubiquitous Cultural Repository,Nanotechnology,Pseudomaterials,U➪YTbT,3,4,1.333,5.5,1.833,1.375
92,Faderan Conclave,Ritual Government,0,Starting,wwww➪UBg,Cross Species Ethical Equality,Interspecies Medical Exchange,Interspecies Capital,wwww➪UBg+$,4,5.5,1.375,8.5,2.125,1.545
93,Faderan Conclave,Non-Indigenous Fauna,0,Starting,ggg➪YTb,Genetic Engineering,Clinical Immortality,Genetically Pliable Fauna,ggg➪YTTb,3,4,1.333,5.5,1.833,1.375
94,Faderan Conclave,Singularity Control,2,Researched,UU➪TBBgwb*,Hyperspace Mining,Achronal Analysis,Wormhole Grid,UU➪TBBgwb*gg,6,8.5,1.417,10.5,1.750,1.235
95,Faderan Conclave,Phases,,Reference,,,,,,,,,,,
96,Faderan Conclave,Megastructures,3,Researched,UUU➪$$$$$wb,Temporal Dilation,Matter Generation,Dyson Swarms,UUU➪$$$$$$wbB,9,17,1.889,21.5,2.389,1.265
97,Im'dril Nomads,Nanotechnology,1,Researched,bbbF➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbbF➪UgY,3,4,1.333,5.5,1.833,1.375
98,Im'dril Nomads,Genetic Engineering,1,Researched,gggF➪YTw,Nanotechnology,Clinical Immortality,Genetic Resynthesis,gggF➪YTwT,3,4,1.333,5.5,1.833,1.375
99,Im'dril Nomads,Universal Translator,1,Researched,wwwF➪$+T,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,wwwF➪$+Twg,3,4.5,1.500,6.5,2.167,1.444
100,Im'dril Nomads,Antimatter Power,2,Researched,bbbbF➪YYBg,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbbF➪YYBggw,4,5.5,1.375,7.5,1.875,1.364
101,Im'dril Nomads,Interspecies Medical Exchange,2,Researched,ggggF➪$w+wg,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,ggggF➪$wwT+wg,4,6,1.500,8.5,2.125,1.417
102,Im'dril Nomads,Cross Species Ethical Equality,2,Researched,wwwwF➪$+$w,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwwwF➪$U+$w,4,7,1.750,10,2.500,1.429
103,Im'dril Nomads,Xeno Cultural Exchange,3,Researched,bbbbbF➪$Bwwgg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbbF➪$$Bwwgg+$Bw,5,11.5,2.300,17,3.400,1.478
104,Im'dril Nomads,Poly Species Corporations,3,Researched,gggggF➪$YT**+wwgb,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,gggggF➪$$YT**+wwwgb,5,12,2.400,16,3.200,1.333
105,Im'dril Nomads,Social Exodus,3,Researched,wwwwwF➪$**Y+$**YT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Reunion,wwwwwF➪$$**Y+$**YTb,5,14.5,2.900,18.5,3.700,1.276
106,Im'dril Nomads,Quantum Computers,1,Researched,BBF➪TYb,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BBF➪TYbT,3,4,1.333,5.5,1.833,1.375
107,Im'dril Nomads,Clinical Immortality,1,Researched,TTF➪$w,Genetic Engineering,Atomic Transmutation,Practical Immortality,TTF➪$wY,3,4,1.333,5.5,1.833,1.375
108,Im'dril Nomads,Ubiquitous Cultural Repository,1,Researched,YYF➪$w,Universal Translator,Quantum Computers,Memetic Lifeforms,YYF➪$wB,3,4,1.333,5.5,1.833,1.375
